,Province/State,Country/Region,Lat,Long,5/29/20
154,,Maldives,3.2028,73.2207,5
155,,Malta,35.9375,14.3754,9
156,,Mauritania,21.0079,10.9408,20
157,,Mauritius,-20.2,57.5,10
158,,Mexico,23.6345,-102.5528,9415
159,,Moldova,47.4116,28.3699,288
160,,Monaco,43.7333,7.4167,4
161,,Mongolia,46.8625,103.8467,0
162,,Montenegro,42.5,19.3,9
163,,Morocco,31.7917,-7.0926,202
164,,Namibia,-22.9576,18.4904,0
165,,Nepal,28.1667,84.25,6
166,Aruba,Netherlands,12.5186,-70.0358,3
167,Curacao,Netherlands,12.1696,-68.99,1
168,Sint Maarten,Netherlands,18.0425,-63.0548,15
169,,Netherlands,52.1326,5.2913,5931
170,,New Zealand,-40.9006,174.886,22
171,,Nicaragua,12.8654,-85.2072,35
172,,Niger,17.6078,8.0817,64
173,,Nigeria,9.082,8.6753,261
174,,North Macedonia,41.6086,21.7453,126
175,,Norway,60.472,8.4689,236
176,,Oman,21.0,57.0,40
177,,Pakistan,30.3753,69.3451,1317
178,,Panama,8.538,-80.7821,326
179,,Papua New Guinea,-6.315,143.9555,0
180,,Paraguay,-23.4425,-58.4438,11
181,,Peru,-9.19,-75.0152,4099
182,,Philippines,13.0,122.0,942
183,,Poland,51.9194,19.1451,1051
184,,Portugal,39.3999,-8.2245,1383
185,,Qatar,25.3548,51.1839,36
186,,Romania,45.9432,24.9668,1248
187,,Russia,60.0,90.0,4374
188,,Rwanda,-1.9403,29.8739,0
189,,Saint Lucia,13.9094,-60.9789,0
190,,Saint Vincent and the Grenadines,12.9843,-61.2872,0
191,,San Marino,43.9424,12.4578,42
192,,Saudi Arabia,24.0,45.0,458
193,,Senegal,14.4974,-14.4524,41
194,,Serbia,44.0165,21.0059,242
195,,Seychelles,-4.6796,55.492,0
196,,Singapore,1.2833,103.8333,23
197,,Slovakia,48.669,19.699,28
198,,Slovenia,46.1512,14.9955,108
199,,Somalia,5.1521,46.1996,72
200,,South Africa,-30.5595,22.9375,611
201,,Spain,40.0,-4.0,27121
202,,Sri Lanka,7.0,81.0,10
203,,Sudan,12.8628,30.2176,233
204,,Suriname,3.9193,-56.0278,1
205,,Sweden,63.0,16.0,4350
206,,Switzerland,46.8182,8.2275,1919
207,,Taiwan*,23.7,121.0,7
208,,Tanzania,-6.369,34.8888,21
209,,Thailand,15.0,101.0,57
210,,Togo,8.6195,0.8248,13
211,,Trinidad and Tobago,10.6918,-61.2225,8
212,,Tunisia,34.0,9.0,48
213,,Turkey,38.9637,35.2433,4489
214,,Uganda,1.0,32.0,0
215,,Ukraine,48.3794,31.1656,679
216,,United Arab Emirates,24.0,54.0,260
217,Bermuda,United Kingdom,32.3078,-64.7505,9
218,Cayman Islands,United Kingdom,19.3133,-81.2546,1
219,Channel Islands,United Kingdom,49.3723,-2.3644,45
220,Gibraltar,United Kingdom,36.1408,-5.3536,0
221,Isle of Man,United Kingdom,54.2361,-4.5481,24
222,Montserrat,United Kingdom,16.7425,-62.1874,1
223,,United Kingdom,55.3781,-3.4360000000000004,38161
224,,Uruguay,-32.5228,-55.7658,22
225,,US,37.0902,-95.7129,102809
226,,Uzbekistan,41.3775,64.5853,14
227,,Venezuela,6.4238,-66.5897,14
228,,Vietnam,16.0,108.0,0
229,,Zambia,-15.4167,28.2833,7
230,,Zimbabwe,-20.0,30.0,4
231,Diamond Princess,Canada,0.0,0.0,1
232,,Dominica,15.415,-61.371,0
233,,Grenada,12.1165,-61.678999999999995,0
234,,Mozambique,-18.665695,35.529562,2
235,,Syria,34.802075,38.99681500000001,4
236,,Timor-Leste,-8.874217,125.727539,0
237,,Belize,13.1939,-59.5432,2
238,,Laos,19.856270000000002,102.495496,0
239,,Libya,26.3351,17.228331,5
240,,West Bank and Gaza,31.9522,35.2332,3
241,,Guinea-Bissau,11.8037,-15.1804,8
242,,Mali,17.570692,-3.996166000000001,73
243,,Saint Kitts and Nevis,17.357822,-62.782998,0
244,Northwest Territories,Canada,64.8255,-124.8457,0
245,Yukon,Canada,64.2823,-135.0,0
246,,Kosovo,42.602636,20.902977,30
247,,Burma,21.9162,95.956,6
248,Anguilla,United Kingdom,18.2206,-63.0686,0
249,British Virgin Islands,United Kingdom,18.4207,-64.64,1
250,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,1
251,,MS Zaandam,0.0,0.0,2
252,,Botswana,-22.3285,24.6849,1
253,,Burundi,-3.3731,29.9189,1
254,,Sierra Leone,8.460555000000001,-11.779889,45
255,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0
256,,Malawi,-13.254307999999998,34.301525,4
257,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0
258,Saint Pierre and Miquelon,France,46.8852,-56.3159,0
259,,South Sudan,6.8770000000000024,31.307,10
260,,Western Sahara,24.2155,-12.8858,1
261,,Sao Tome and Principe,0.18636,6.613081,12
262,,Yemen,15.552726999999999,48.516388,65
263,,Comoros,-11.6455,43.3333,2
264,,Tajikistan,38.861034000000004,71.276093,47
265,,Lesotho,-29.609988,28.233608,0
