Name,Cases,Deaths,Code,Latitude,Longitude,Population,Area,Demographic_Density,"Hospital beds (per 1,000 people)",Population ages 65 and above (% of total population),Urban population (% of total population),Deaths_per_mil
Panama,13018,330,PAN,9.0,-80.0,3814672.0,75417.0,50.58106262513757,2.3,8.10473107966757,67.709,Below
Paraguay,964,11,PRY,-23.0,-58.0,6854536.0,406752.0,16.851880261191095,1.3,6.43021500946081,61.585,Below
Peru,155671,4371,PER,-10.0,-76.0,31488700.0,1285216.0,24.500706496028684,1.6,8.08839279183076,77.907,Above
Philippines,17224,950,PHL,13.0,122.0,103279800.0,342353.0,301.67633991815467,1.0,5.12256876829946,46.907,Below
Poland,23571,1061,POL,52.0,20.0,38437239.0,312679.0,122.92875121130616,6.5,17.5178167625452,60.058,Below
Portugal,32203,1396,PRT,39.5,-8.0,10374822.0,92090.0,112.65959387555652,3.4,21.9538575375873,65.211,Above
Qatar,55262,36,QAT,25.5,51.25,2587564.0,11586.0,223.3354047988952,1.2,1.3700703387375,99.135,Below
Romania,19133,1259,ROU,46.0,25.0,19861408.0,238391.0,83.31442042694565,6.3,18.3387013938296,53.998,Below
Rwanda,359,1,RWA,-2.0,30.0,11553188.0,26338.0,438.65092262130764,1.6,2.9381960775388,17.211,Below
Saint Lucia,18,0,LCA,13.88333333,-60.96666666,186000.0,616.0,301.94805194805195,1.3,9.80653035642617,18.678,Below
Saint Vincent and the Grenadines,26,0,VCT,13.25,-61.2,109991.0,389.0,282.75321336760925,2.6,9.58978686338024,52.198,Below
Saudi Arabia,83384,480,SAU,25.0,45.0,32248200.0,2149690.0,15.001325772553251,2.7,3.31408802294981,83.844,Below
Senegal,3535,42,SEN,14.0,-14.0,14799859.0,196722.0,75.2323532700969,0.3,3.08682370101833,47.192,Below
Serbia,11381,242,SRB,44.0,21.0,7076372.0,88361.0,80.08478853792963,5.7,18.3457926916963,56.092,Below
Seychelles,11,0,SYC,-4.58333333,55.66666666,91400.0,452.0,202.21238938053096,3.6,7.59454560435034,56.691,Below
Singapore,34366,23,SGP,1.36666666,103.8,5535000.0,710.0,7795.774647887324,2.4,11.4633801933791,100.0,Below
